date,state,avgpcp
191708,42,0.598571428571
191708,43,5.00666666667
191708,44,3.43166666667
191708,45,0.176
191708,46,3.67166666667
191708,47,2.61888888889
191708,48,0.671
191709,1,5.9425
191709,2,1.01857142857
191709,3,1.74111111111
191709,4,0.184285714286
191709,5,1.556
191709,6,1.83333333333
191709,7,2.985
191709,8,8.42714285714
191709,9,5.68777777778
191709,10,1.75
191709,11,2.56222222222
191709,12,1.77111111111
191709,13,2.86777777778
191709,14,2.36666666667
191709,15,2.5425
191709,16,2.51777777778
191709,17,1.49
191709,18,2.51875
191709,19,1.65666666667
191709,20,1.812
191709,21,2.36444444444
191709,22,2.813
191709,23,2.735
191709,24,1.70142857143
191709,25,2.91125
191709,26,0.31
191709,27,1.4
191709,28,3.15
191709,29,1.43625
191709,30,2.242
191709,31,7.0
191709,32,1.14888888889
191709,33,1.909
191709,34,2.03444444444
191709,35,1.74666666667
191709,36,2.357
191709,37,2.67
191709,38,6.14857142857
191709,39,1.67
191709,40,2.99
191709,41,1.792
191709,42,1.16714285714
191709,43,1.74666666667
191709,44,3.23833333333
191709,45,1.829
191709,46,2.93666666667
191709,47,3.00111111111
191709,48,1.1
191710,1,1.4975
191710,2,0.0285714285714
191710,3,1.89111111111
191710,4,0.0128571428571
191710,5,0.502
191710,6,6.16
191710,7,7.7
191710,8,3.33142857143
191710,9,1.20111111111
191710,10,0.215
191710,11,2.86333333333
191710,12,4.59777777778
191710,13,1.35111111111
191710,14,0.447777777778
191710,15,3.03
191710,16,1.35
191710,17,6.20333333333
191710,18,6.095
191710,19,5.86
191710,20,3.743
191710,21,1.72333333333
191710,22,1.619
191710,23,1.14833333333
191710,24,0.765714285714
191710,25,0.36875
191710,26,0.005
191710,27,6.075
191710,28,6.95
191710,29,0.0725
191710,30,6.625
191710,31,2.815
191710,32,0.71
191710,33,5.008
191710,34,0.177777777778
191710,35,0.0622222222222
191710,36,6.436
191710,37,5.75
191710,38,1.82571428571
191710,39,0.244444444444
191710,40,2.64
191710,41,0.29
191710,42,0.0628571428571
191710,43,6.57333333333
191710,44,4.10166666667
191710,45,1.023
191710,46,4.42833333333
191710,47,3.50333333333
191710,48,0.693
191711,1,1.46125
191711,2,0.02
191711,3,1.91444444444
191711,4,1.72857142857
191711,5,0.326
191711,6,0.796666666667
191711,7,0.51
191711,8,0.494285714286
191711,9,0.981111111111
191711,10,1.658
191711,11,0.656666666667
191711,12,0.507777777778
191711,13,0.256666666667
191711,14,0.395555555556
191711,15,1.235
191711,16,1.26444444444
191711,17,1.48333333333
191711,18,0.6
191711,19,0.843333333333
191711,20,0.873
191711,21,0.161111111111
191711,22,1.525
191711,23,1.29333333333
191711,24,0.362857142857
191711,25,0.59875
191711,26,0.6775
191711,27,0.865
191711,28,0.536666666667
191711,29,0.15625
191711,30,1.013
191711,31,0.96375
191711,32,0.133333333333
191711,33,0.548
191711,34,1.68333333333
191711,35,5.73666666667
191711,36,0.654
191711,37,0.57
191711,38,0.815714285714
191711,39,0.207777777778
191711,40,1.0975
191711,41,0.755
191711,42,0.787142857143
191711,43,0.906666666667
191711,44,0.556666666667
191711,45,3.755
191711,46,0.903333333333
191711,47,0.324444444444
191711,48,0.65
191712,1,1.75
191712,2,0.00428571428571
191712,3,1.32777777778
191712,4,1.25142857143
191712,5,0.392
191712,6,2.89666666667
191712,7,2.325
191712,8,1.43
191712,9,1.64111111111
191712,10,4.205
191712,11,0.878888888889
191712,12,1.23444444444
191712,13,0.545555555556
191712,14,0.21
191712,15,1.99
191712,16,2.30111111111
191712,17,3.12333333333
191712,18,1.61375
191712,19,2.63666666667
191712,20,1.151
191712,21,0.56
191712,22,2.099
191712,23,0.936666666667
191712,24,3.44428571429
191712,25,0.40875
191712,26,0.11
191712,27,3.235
191712,28,2.89666666667
191712,29,0.01125
191712,30,2.438
191712,31,1.98875
191712,32,0.696666666667
191712,33,1.311
191712,34,0.152222222222
191712,35,9.27222222222
191712,36,1.845
191712,37,3.04
191712,38,1.59
191712,39,0.604444444444
191712,40,1.8125
191712,41,0.175
191712,42,0.315714285714
191712,43,2.53333333333
191712,44,1.68333333333
191712,45,15.355
191712,46,1.62833333333
191712,47,0.522222222222
191712,48,1.614
191801,1,7.45875
191801,2,1.92571428571
191801,3,4.66777777778
191801,4,1.16428571429
191801,5,1.672
191801,6,3.7
191801,7,4.36
191801,8,2.72285714286
191801,9,5.48666666667
191801,10,3.109
191801,11,2.40666666667
191801,12,2.97222222222
191801,13,0.973333333333
191801,14,0.655555555556
191801,15,5.2225
191801,16,4.19555555556
191801,17,3.08666666667
191801,18,4.245
191801,19,3.39
191801,20,1.431
191801,21,0.668888888889
191801,22,5.726
191801,23,2.18666666667
191801,24,2.46857142857
191801,25,0.795
191801,26,0.8775
191801,27,2.785
191801,28,4.46
191801,29,1.0125
191801,30,2.652
191801,31,4.70875
191801,32,0.493333333333
191801,33,3.158
191801,34,1.16888888889
191801,35,6.22333333333
191801,36,3.776
191801,37,3.51
191801,38,4.74142857143
191801,39,0.81
191801,40,7.175
191801,41,0.653
191801,42,1.93571428571
191801,43,2.53
191801,44,5.065
191801,45,6.701
191801,46,4.27333333333
191801,47,1.99444444444
191801,48,1.972
191802,1,2.4075
191802,2,1.12714285714
191802,3,1.11222222222
191802,4,5.88571428571
191802,5,1.416
191802,6,3.04666666667
191802,7,1.29
191802,8,0.772857142857
191802,9,2.14777777778
191802,10,2.091
191802,11,1.55222222222
191802,12,1.83222222222
191802,13,0.986666666667
191802,14,0.794444444444
